id,source_term,type,pinyin,label,curated_gloss
PRE_02500,血府逐瘀汤,PRE,Xuefu Zhuyu Tang,Xuefu Zhuyu Tang,False
PRE_02501,小柴胡汤,PRE,Xiaochaihu Tang,Xiaochaihu Tang,False
PRE_02502,温胆汤,PRE,Wendan Tang,Wendan Tang,False
PRE_02503,地黄汤,PRE,Dihuang Tang,Dihuang Tang,False
PRE_02504,桂枝汤,PRE,Guizhi Tang,Guizhi Tang,False
PRE_02505,生脉散,PRE,Shengmai San,Shengmai San,False
PRE_02506,荆防败毒散,PRE,Jingfangbaidu San,Jingfangbaidu San,False
PRE_02507,香薷饮,PRE,Xiangru Yin,Xiangru Yin,False
PRE_02508,安宫牛黄丸,PRE,Angongniuhuang Wan,Angongniuhuang Wan,False
PRE_02509,玉女煎,PRE,Yunvjian,Yunvjian,False
PRE_02510,紫雪丹,PRE,Zixuedan,Zixuedan,False
PRE_02511,知柏地黄丸,PRE,Zhibaidihuang Wan,Zhibaidihuang Wan,False
PRE_02512,地黄丸,PRE,Dihuang Wan,Dihuang Wan,False
PRE_02513,真武汤,PRE,Zhenwu Tang,Zhenwu Tang,False
PRE_02514,凉膈散,PRE,Liangge San,Liangge San,False
PRE_02515,小续命汤,PRE,Xiaoxuming Tang,Xiaoxuming Tang,False
PRE_02516,玉屏风散,PRE,Yupingfeng San,Yupingfeng San,False
PRE_02517,银翘散,PRE,Yinqiao San,Yinqiao San,False
PRE_02518,六一散,PRE,Liuyi San,Liuyi San,False
PRE_02519,白虎汤,PRE,Baihu Tang,Baihu Tang,False
PRE_02520,续命汤,PRE,Xuming Tang,Xuming Tang,False
PRE_02521,肾气丸,PRE,Shenqi Wan,Shenqi Wan,False
PRE_02522,藿香正气散,PRE,Huoxiangzhengqi San,Huoxiangzhengqi San,False
PRE_02523,醒脾散,PRE,Xingpi San,Xingpi San,False
PRE_02524,附子理中汤,PRE,Fuzilizhong Tang,Fuzilizhong Tang,False
PRE_02525,六味丸,PRE,Liuwei Wan,Liuwei Wan,False
